rhoP,theta,s,open_regime,closed_regime,final_regime,B_open,B_closed,P_open,P_closed,U_open,U_closed
0.01,0.08,0.5,intermediate,intermediate,intermediate,0.29566592315897816,0.36418461909649513,0.9091607900262432,0.6199715169330172,0.3292771016597851,0.3939752007499574
0.01,0.08,0.5684210526315789,intermediate,closed,bistable,0.3144739177330058,0.9995678942738414,0.907865504378464,0.15785672823116653,0.3302243323779415,0.7470120159974902
0.01,0.08,0.6368421052631579,intermediate,closed,bistable,0.3333198047655491,1.0,0.9064815228892447,0.13116470318572926,0.33132134775223454,0.7601033448882422
0.01,0.08,0.7052631578947368,intermediate,closed,bistable,0.3521951695292309,1.0,0.9050254734934084,0.12138114726336818,0.3325168041340603,0.764549112310905
0.01,0.08,0.7736842105263158,intermediate,closed,bistable,0.37113906993193174,1.0,0.9035033567296594,0.11456397837140862,0.33378108309760884,0.766940825643863
0.01,0.08,0.8421052631578947,intermediate,closed,bistable,0.39003522456240824,1.0,0.9019251983817762,0.10924191810062708,0.33511171976338383,0.7684883061197002
0.01,0.08,0.9105263157894737,intermediate,closed,bistable,0.40889499683554575,1.0,0.9002960043919617,0.10505667909674352,0.33649497666865835,0.769594375669549
0.01,0.08,0.9789473684210527,intermediate,closed,bistable,0.42773444705040903,1.0,0.8986128295727667,0.10188070816059266,0.3379274168311192,0.7702619571048875
0.01,0.08,1.0473684210526315,intermediate,closed,bistable,0.44653358173017066,1.0,0.8968755281035525,0.09945534795164428,0.3394085236442182,0.7707665345955645
0.01,0.08,1.1157894736842104,intermediate,closed,bistable,0.4652352006028692,1.0,0.8950968367029842,0.09764867130827136,0.34093193602464333,0.7711514453117014
0.01,0.08,1.1842105263157894,intermediate,closed,bistable,0.483866072483878,1.0,0.8932674629281412,0.09631248472396094,0.34250077708707743,0.7713568378731922
0.01,0.08,1.2526315789473683,intermediate,closed,bistable,0.5023732092754029,1.0,0.891404177751053,0.09533268901308414,0.3441065931609359,0.7715028542718619
0.01,0.08,1.3210526315789475,intermediate,closed,bistable,0.5208305490890734,1.0,0.8894739897104494,0.09462083043605042,0.34576579652143563,0.7716061024954656
0.01,0.08,1.3894736842105264,intermediate,closed,bistable,0.5391459626686154,1.0,0.8875129303852531,0.09414224572875608,0.34746025973255473,0.7717670419371622
0.01,0.08,1.4578947368421054,closed,closed,closed,0.5573989195502584,1.0,0.8854791357597217,0.09377634044856809,0.3492119056726073,0.771817304631625
0.01,0.08,1.5263157894736843,closed,closed,closed,0.5754967111555347,1.0,0.88341722398524,0.09351443666507735,0.3509974807391709,0.771852546514145
0.01,0.08,1.5947368421052632,closed,closed,closed,0.5935240925114755,1.0,0.8812762058831922,0.09332741829333208,0.3528445062476298,0.7718772504633166
0.01,0.08,1.6631578947368422,closed,closed,closed,0.611433305111039,1.0,0.8790788156865241,0.09319409399205959,0.35474128370400876,0.7718945594403541
0.01,0.08,1.731578947368421,closed,closed,closed,0.6291727633540501,1.0,0.8768570186541566,0.09309915575527984,0.35667039687985597,0.7719066854159217
0.01,0.08,1.8,closed,closed,closed,0.6468353878428101,1.0,0.8745455933664844,0.09303160349385096,0.3586682265138341,0.7719151811402717
0.01,0.09263157894736843,0.5,intermediate,intermediate,intermediate,0.24017397144628067,0.29766304129896665,0.9084648677926432,0.5798043851420337,0.3268154168066744,0.38656693411277243
0.01,0.09263157894736843,0.5684210526315789,intermediate,intermediate,intermediate,0.25751350086873415,0.31656332474219323,0.9070729576692153,0.6141590895386251,0.32754793924128495,0.38479093843098705
0.01,0.09263157894736843,0.6368421052631579,intermediate,closed,bistable,0.27498924028328714,1.0,0.9055772234170163,0.13778505188214002,0.3284925381366101,0.7548049169136135
0.01,0.09263157894736843,0.7052631578947368,intermediate,closed,bistable,0.29266739299038924,1.0,0.9039960783739113,0.12286631050431589,0.32955453747402086,0.7626815518864942
0.01,0.09263157894736843,0.7736842105263158,intermediate,closed,bistable,0.31045692775466427,1.0,0.9023415655319036,0.11500832240730127,0.3307197607454493,0.7661110405032239
0.01,0.09263157894736843,0.8421052631578947,intermediate,closed,bistable,0.3283157177912428,1.0,0.9006274041152139,0.10939797084491938,0.33196474604308523,0.7680546989209873
0.01,0.09263157894736843,0.9105263157894737,intermediate,closed,bistable,0.34628660987545246,1.0,0.8988491515335448,0.10515547081260834,0.3332720557278312,0.7692572819308415
0.01,0.09263157894736843,0.9789473684210527,intermediate,closed,bistable,0.3642987409520344,1.0,0.8970187397934407,0.1019073137698792,0.33463837201062013,0.7700825762058936
0.01,0.09263157894736843,1.0473684210526315,intermediate,closed,bistable,0.38236543009722274,1.0,0.8951297178635568,0.09945590093724813,0.33606056400714884,0.7707165581924063
0.01,0.09263157894736843,1.1157894736842104,intermediate,closed,bistable,0.40042474963698427,1.0,0.8931982106902504,0.09764244349777822,0.33753296798761895,0.7710260519171873
0.01,0.09263157894736843,1.1842105263157894,intermediate,closed,bistable,0.418497643023886,1.0,0.8912130794567987,0.09631266032520144,0.33905721999388655,0.7713366563276811
0.01,0.09263157894736843,1.2526315789473683,intermediate,closed,bistable,0.4365685383341912,1.0,0.8891743510333265,0.09533278416914699,0.34063332938836743,0.7714898166880448
0.01,0.09263157894736843,1.3210526315789475,intermediate,closed,bistable,0.45462440923654845,1.0,0.8870818989202885,0.094620880826664,0.34226147595057343,0.7715976860361252
0.01,0.09263157894736843,1.3894736842105264,intermediate,closed,bistable,0.4726126306064903,1.0,0.8849606259444355,0.09410709933255448,0.34393124611291526,0.7716734068459445
0.01,0.09263157894736843,1.4578947368421054,intermediate,closed,bistable,0.4906069571539549,1.0,0.8827621892800761,0.09377635354379131,0.3456631632770193,0.7718139398264334
0.01,0.09263157894736843,1.5263157894736843,intermediate,closed,bistable,0.5085151018838532,1.0,0.8805388946334783,0.09351444331089702,0.347434966699196,0.7718503771698558
0.01,0.09263157894736843,1.5947368421052632,intermediate,closed,bistable,0.5264166728046388,1.0,0.8782325052184572,0.09332742163764184,0.34927298326546163,0.7718758518989184
0.01,0.09263157894736843,1.6631578947368422,intermediate,closed,bistable,0.5442178106849498,1.0,0.8759049094772611,0.09319409566352525,0.3511494589603232,0.7718936577665384
0.01,0.09263157894736843,1.731578947368421,closed,closed,closed,0.5620041126271155,1.0,0.8734877293755495,0.09309915658600142,0.3530966853215856,0.7719061040514634
0.01,0.09263157894736843,1.8,closed,closed,closed,0.5797268449969125,1.0,0.8710125543130542,0.09303160390479785,0.3551006813052456,0.7719148062599616
0.01,0.10526315789473684,0.5,open,intermediate,bistable,0.19256642729978526,0.23934274017272952,0.9078140268851369,0.5367701961551797,0.3249506208284676,0.37862019719781376
0.01,0.10526315789473684,0.5684210526315789,intermediate,intermediate,intermediate,0.20827002361764685,0.2569510856930047,0.9063315004012488,0.5731543957369006,0.3253678829384516,0.3778405946912064
0.01,0.10526315789473684,0.6368421052631579,intermediate,intermediate,intermediate,0.22423087192953572,0.27451007981096,0.9047224058176134,0.6042561296509261,0.32607489585856403,0.37714599284521855
0.01,0.10526315789473684,0.7052631578947368,intermediate,closed,bistable,0.24043365939695183,1.0,0.9030116255880003,0.12618032768296672,0.32697349602933773,0.7592184282299628
0.01,0.10526315789473684,0.7736842105263158,intermediate,closed,bistable,0.2568656035271204,1.0,0.9012150787382054,0.11590435970578712,0.32800276500495135,0.7646753218927831
0.01,0.10526315789473684,0.8421052631578947,intermediate,closed,bistable,0.27347892227635584,1.0,0.8993485330491341,0.10971119865346185,0.329133869614966,0.7673193837584367
0.01,0.10526315789473684,0.9105263157894737,intermediate,closed,bistable,0.2903095639604498,1.0,0.8974048667428326,0.10525559163229514,0.3303412446806913,0.7688705587857051
0.01,0.10526315789473684,0.9789473684210527,intermediate,closed,bistable,0.30724255045461474,1.0,0.8954133312791517,0.10193444933869131,0.33162184506488535,0.7698729680545957
0.01,0.10526315789473684,1.0473684210526315,intermediate,closed,bistable,0.3243237181321775,1.0,0.8933570250548946,0.09946417745272439,0.33296566255155646,0.7705515324979402
0.01,0.10526315789473684,1.1157894736842104,intermediate,closed,bistable,0.34152557093427083,1.0,0.891237014403736,0.0976428800644354,0.33437185991947016,0.7709825851920548
