sigma,s,theta,rhoP,prob_closed_open_start,mean_B,std_B
0.0,0.7,0.196,0.02,0.0,0.02040950537406873,3.469446951953614e-18
0.0,0.7571428571428571,0.196,0.02,0.0,0.020792060898171868,0.0
0.0,0.8142857142857143,0.196,0.02,0.0,0.02119009757039961,3.469446951953614e-18
0.0,0.8714285714285714,0.196,0.02,0.0,0.021613695960582043,0.0
0.0,0.9285714285714286,0.196,0.02,0.0,0.02205971874215436,6.938893903907228e-18
0.0,0.9857142857142858,0.196,0.02,0.0,0.022529076568314023,6.938893903907228e-18
0.0,1.0428571428571427,0.196,0.02,0.0,0.02304149089550299,6.938893903907228e-18
0.0,1.1,0.196,0.02,0.0,0.023563629624623557,3.469446951953614e-18
0.0,1.157142857142857,0.196,0.02,0.0,0.024137709592717313,6.938893903907228e-18
0.0,1.2142857142857144,0.196,0.02,0.0,0.02474635200604677,3.469446951953614e-18
0.0,1.2714285714285714,0.196,0.02,0.0,0.025357918738042017,6.938893903907228e-18
0.0,1.3285714285714287,0.196,0.02,0.0,0.02603612542061394,6.938893903907228e-18
0.0,1.3857142857142857,0.196,0.02,0.0,0.02671225482002922,1.0408340855860843e-17
0.0,1.4428571428571428,0.196,0.02,0.0,0.027465603712422425,6.938893903907228e-18
0.0,1.5,0.196,0.02,0.0,0.028211421903465584,3.469446951953614e-18
0.03333333333333333,0.7,0.196,0.02,0.0,0.05829741534468697,0.0019930804339210583
0.03333333333333333,0.7571428571428571,0.196,0.02,0.0,0.06367798662502934,0.0021492808303667206
0.03333333333333333,0.8142857142857143,0.196,0.02,0.0,0.06941108437734862,0.002311221981658063
0.03333333333333333,0.8714285714285714,0.196,0.02,0.0,0.07550346847294062,0.00247845725903759
0.03333333333333333,0.9285714285714286,0.196,0.02,0.0,0.08196144197320271,0.002650526413450005
0.03333333333333333,0.9857142857142858,0.196,0.02,0.0,0.08879110524958082,0.002826968227082783
0.03333333333333333,1.0428571428571427,0.196,0.02,0.0,0.09599862869671474,0.003007331709031944
0.03333333333333333,1.1,0.196,0.02,0.0,0.10359053376404882,0.003191185359146971
