theta,s,open_regime,closed_regime,final_regime,B_open,B_closed
0.08,0.4,closed,closed,closed,0.7604389034802176,0.7699544315868354
0.08,0.45,closed,closed,closed,0.9107453883280011,0.9136434252609572
0.08,0.5,closed,closed,closed,1.0,1.0
0.08,0.55,closed,closed,closed,1.0,1.0
0.08,0.6000000000000001,closed,closed,closed,1.0,1.0
0.08,0.6500000000000001,closed,closed,closed,1.0,1.0
0.08,0.7000000000000001,closed,closed,closed,1.0,1.0
0.08,0.7500000000000001,closed,closed,closed,1.0,1.0
0.08,0.8,closed,closed,closed,1.0,1.0
0.08,0.8500000000000001,closed,closed,closed,1.0,1.0
0.08,0.9000000000000001,closed,closed,closed,1.0,1.0
0.08,0.9500000000000002,closed,closed,closed,1.0,1.0
0.08,1.0,closed,closed,closed,1.0,1.0
0.08,1.0500000000000003,closed,closed,closed,1.0,1.0
0.08,1.1,closed,closed,closed,1.0,1.0
0.08,1.1500000000000001,closed,closed,closed,1.0,1.0
0.08,1.2000000000000002,closed,closed,closed,1.0,1.0
0.08,1.2500000000000002,closed,closed,closed,1.0,1.0
0.08,1.3000000000000003,closed,closed,closed,1.0,1.0
0.08,1.35,closed,closed,closed,1.0,1.0
0.08,1.4000000000000004,closed,closed,closed,1.0,1.0
0.08,1.4500000000000002,closed,closed,closed,1.0,1.0
0.08,1.5000000000000004,closed,closed,closed,1.0,1.0
0.08,1.5500000000000003,closed,closed,closed,1.0,1.0
0.08,1.6,closed,closed,closed,1.0,1.0
0.09,0.4,closed,closed,closed,0.5653181964876356,0.5959439020279336
0.09,0.45,closed,closed,closed,0.7768280149688127,0.7974421544234954
0.09,0.5,closed,closed,closed,0.9349080089638835,0.939889756386878
0.09,0.55,closed,closed,closed,1.0,1.0
0.09,0.6000000000000001,closed,closed,closed,1.0,1.0
0.09,0.6500000000000001,closed,closed,closed,1.0,1.0
0.09,0.7000000000000001,closed,closed,closed,1.0,1.0
0.09,0.7500000000000001,closed,closed,closed,1.0,1.0
0.09,0.8,closed,closed,closed,1.0,1.0
0.09,0.8500000000000001,closed,closed,closed,1.0,1.0
0.09,0.9000000000000001,closed,closed,closed,1.0,1.0
0.09,0.9500000000000002,closed,closed,closed,1.0,1.0
0.09,1.0,closed,closed,closed,1.0,1.0
0.09,1.0500000000000003,closed,closed,closed,1.0,1.0
0.09,1.1,closed,closed,closed,1.0,1.0
0.09,1.1500000000000001,closed,closed,closed,1.0,1.0
0.09,1.2000000000000002,closed,closed,closed,1.0,1.0
0.09,1.2500000000000002,closed,closed,closed,1.0,1.0
0.09,1.3000000000000003,closed,closed,closed,1.0,1.0
0.09,1.35,closed,closed,closed,1.0,1.0
0.09,1.4000000000000004,closed,closed,closed,1.0,1.0
0.09,1.4500000000000002,closed,closed,closed,1.0,1.0
0.09,1.5000000000000004,closed,closed,closed,1.0,1.0
