condition,agent_type,seed,all_survived,surv_A,surv_B,surv_generalist,survival_pre,survival_post1,survival_late,coop_pre,coop_post1,coop_late,apparent_informed_pre,apparent_informed_post1,apparent_informed_late,true_informed_pre,true_informed_post1,true_informed_late,certified_give_rate_pre,certified_give_rate_post1,certified_give_rate_late,false_certified_pre,false_certified_post1,false_certified_late,certification_error_pre,certification_error_post1,certification_error_late,uncertified_true_need_pre,uncertified_true_need_post1,uncertified_true_need_late,strict_usefulness_pre,strict_usefulness_post1,strict_usefulness_late,reciprocity_pre,reciprocity_post1,reciprocity_late
no_crisis,dqn,0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,0,1.0,1.0,1.0,1.0,100.0,100.0,100.0,19,3,8,1.0,1.0,1.0,1.0,1.0,0.875,1.4615384615384615,1.0,0.6666666666666666,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
no_crisis,dqn,1,0.0,0.0,0.0,0.0,29.166666666666668,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,1,1.0,1.0,1.0,1.0,100.0,100.0,100.0,20,4,6,1.0,1.0,1.0,0.9,0.75,0.8333333333333334,1.1764705882352942,1.0,0.8571428571428571,0.1,0.25,0.16666666666666666,0.1,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
no_crisis,dqn,2,0.0,0.0,0.0,1.0,45.33333333333333,33.33333333333333,33.33333333333333,2,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,2,1.0,1.0,1.0,1.0,100.0,100.0,100.0,19,4,8,1.0,1.0,1.0,0.9473684210526315,0.75,1.0,1.1176470588235294,1.3333333333333333,1.0,0.05263157894736842,0.25,0.0,0.05263157894736842,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
no_crisis,dqn,3,0.0,0.0,0.0,0.0,50.5,33.33333333333333,5.666666666666666,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,3,1.0,1.0,1.0,1.0,100.0,100.0,100.0,18,4,8,1.0,1.0,1.0,0.9444444444444444,1.0,0.875,0.8181818181818182,0.8,0.8888888888888888,0.05555555555555555,0.0,0.125,0.05555555555555555,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
no_crisis,dqn,4,0.0,0.0,0.0,0.0,45.666666666666664,33.33333333333333,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_crisis,scripted,4,1.0,1.0,1.0,1.0,100.0,100.0,100.0,19,2,8,1.0,1.0,1.0,0.8947368421052632,1.0,0.875,1.3571428571428572,0.6666666666666666,1.6,0.10526315789473684,0.0,0.125,0.10526315789473684,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
