seed,rho,rho_sym,asymmetry,positive_transfer_frac,censored_frac,ref_steps_median,n_pairs,frac_beating_null,median_gain_vs_null,median_compute_component,median_total_advantage,median_route_spread,frac_worst_beaten_by_null,hubs
0,0.4403793211406439,0.584233143427113,0.7655726916308924,0.23333333333333334,0.16666666666666666,1400.0,6,0.8333333333333334,0.6016592045847615,0.43733381274481664,0.7548081165943592,1.467348018692519,1.0,"[('wind_h8', 6)]"
1,0.6456939509432427,0.7274355004810266,0.6656560005968194,0.7333333333333333,0.0,1400.0,6,0.5,0.031074723264068516,0.18238592996709457,0.3092935431452855,0.5689843729286101,0.6666666666666666,"[('blur_h8', 2), ('wind_h8', 2)]"
2,0.11771271807483062,0.021428571428571425,0.7178376976455706,0.5,0.1,1400.0,6,0.6666666666666666,0.13571541941300463,0.5315581749301042,0.565276651763933,2.579253192031027,0.8333333333333334,"[('wind_h8', 4), ('compressed_h2', 1)]"
3,0.4386377009805113,0.784951278592256,0.8273460035487575,0.4,0.3,1400.0,6,0.8333333333333334,0.6121897089712307,0.2616450228226868,0.7182033465004126,1.2378410647556382,1.0,"[('wind_h8', 6)]"
4,0.45421089049764485,0.5376378620494904,0.8552280579954324,0.5666666666666667,0.06666666666666667,1400.0,6,0.8333333333333334,0.3463440915362296,0.4917444407496333,0.6806657022182554,4.916784925665219,0.8333333333333334,"[('wind_h8', 5), ('normal_h16', 1)]"
5,0.27694030000806213,0.27748873851023215,0.8098602969153692,0.3333333333333333,0.2,1400.0,6,0.8333333333333334,0.6606348932653391,0.3425423518015405,0.7782099953468861,0.425773516668318,0.16666666666666666,"[('wind_h8', 4), ('blur_h8', 2)]"
6,0.6346526969651479,0.8785714285714284,0.8148872859041489,0.4666666666666667,0.13333333333333333,1400.0,6,0.5,-0.26240471747008975,0.27226570195083455,0.06241836309625226,0.7415515198881654,1.0,"[('wind_h8', 3), ('blur_h8', 2)]"
7,0.5285801254218155,0.8357142857142855,0.759512315628746,0.16666666666666666,0.16666666666666666,1400.0,6,0.8333333333333334,0.4365571964189895,0.3814914847518218,0.650617786023184,1.0297093382303393,1.0,"[('wind_h8', 5), ('blur_h8', 1)]"
8,0.5143754866512615,0.5285714285714286,0.61721608240698,0.5666666666666667,0.03333333333333333,1400.0,6,0.8333333333333334,0.3022493222906185,0.5010694066221455,0.6518749158499433,1.6757714585054941,1.0,"[('wind_h8', 5), ('blur_h8', 1)]"
9,0.48133771960839866,0.8107142857142855,0.735809752635059,0.16666666666666666,0.1,1400.0,6,1.0,0.20856280206886146,0.14534231147334908,0.318479118172284,0.6545434057954025,0.6666666666666666,"[('wind_h8', 6)]"
